Бренд;Коллекция;Категория;categoryId;Тип соединения;Фаска;Порода дерева;Селекция;Тон;Конструкция;Разновидность
Orac Decor;;Аксессуары;359;;;нет;;;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Pergo;;Аксессуары;359;;;;;;;
Coswick;Авторская;Паркетная доска;359;замковое соединение;четырехсторонняя;Дуб;Селект энд Бэттер;Серый;;
Pergo;;Аксессуары;359;;;Дуб;;Серый;;
Coswick;Классическая;Инженерная доска;359;шип-паз;четырехсторонняя;Орех Американский;Традишинал;Коричневый;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Pergo;;Аксессуары;359;;;Удалить;;Белый;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Karelia;;Аксессуары;359;;;Дуб;;;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Coswick;Классическая;Инженерная доска;359;шип-паз;четырехсторонняя;Орех Американский;1 Натур;Светлый;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Pergo;Chevron 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Светлый;;
Polarwood;Herringbone;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Робуст;Бежевый;Двухслойная (дуб+фанера);Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Французская
Alpine Floor;Classic Light;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Neowood;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Alta Step;Encanto;Кварц-Виниловый ламинат;335;замковое соединение;V-Groove;;;Коричневый;;Английская
Coswick;Оттенки серого;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Polarwood;Space;Паркетная доска;20003;замковое соединение;четырехсторонняя;Дуб;Тренд;Коричневый;Трехслойная (дуб+хвоя+береза);
Pergo;Chevron 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Натуральный;;
Polarwood;Herringbone;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Робуст;Серый;Двухслойная (дуб+фанера);Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Vorma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Бежевый;;Английская
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Coswick;Дизайнерские решения;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Alpine Floor;Classic Light;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Neowood;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
NatisSton;Leger;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Белые ночи;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Французская
Alta Step;Encanto;Кварц-Виниловый ламинат;335;замковое соединение;V-Groove;;;Коричневый;;Английская
Coswick;Дизайнерские решения;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Polarwood;Space;Паркетная доска;20003;замковое соединение;четырехсторонняя;Дуб;Кантри;Серый;Трехслойная (дуб+хвоя+береза);
Pergo;Chevron 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Бежевый;;
Polarwood;Herringbone;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Кантри;Коричневый;Двухслойная (дуб+фанера);Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Темный;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Pergo;Vorma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Натуральный;;Английская
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Английская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Alpine Floor;Classic Light;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Alta Step;Encanto;Кварц-виниловый ламинат;359;замковое соединение;V-Groove;;;Коричневый;;Английская
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Pergo;Chevron 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Коричневый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Vorma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Коричневый;;Английская
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Английская
Coswick;;Паркет елка;20014;шип-паз;четырехсторонняя;;1 Натур;;;Французская
Alpine Floor;Classic Light;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Valland Parquet;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;Английская
Coswick;Дизайнерские решения;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Французская
Alta Step;Encanto;Кварц-Виниловый ламинат;335;замковое соединение;V-Groove;;;Коричневый;;Английская
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Трехслойная (дуб+хвоя+хвоя);
Pergo;Elements 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Серый;;
Lab Arte;Geometry;Модульный паркет;359;шип-паз;подетально;Дуб;Стандарт;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Glomma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Натуральный;;Монсоро
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Натур;;Двухслойная (дуб+фанера);
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Coswick;;Паркет елка;20014;шип-паз;четырехсторонняя;;1 Натур;;;Французская
Alpine Floor;Intense;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Коричневый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Итальянская
Alta Step;Encanto;Кварц-Виниловый ламинат;335;замковое соединение;V-Groove;;;Коричневый;;Английская
Coswick;Таинственный лес;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Pergo;Elements 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Натуральный;;
Lab Arte;Geometry;Модульный паркет;359;шип-паз;подетально;Дуб;Стандарт;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Бежевый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Серый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Glomma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Бежевый;;Монсоро
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Рустик;;Двухслойная (дуб+фанера);
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Французская
Alpine Floor;Intense;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Итальянская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Оттенки серого;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Geometry;Модульный паркет;266;шип-паз;подетально;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Кантри;Светлый;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Серый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Glomma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Натуральный;;Монсоро
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Селект;;Двухслойная (дуб+фанера);
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Таверн;;;
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Французская
Alpine Floor;Stone Mineral Core;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Итальянская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Дизайнерские решения;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Трехслойная (дуб+хвоя+хвоя);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);
Lab Arte;Geometry;Модульный паркет;266;шип-паз;подетально;Дуб;Стандарт;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Кантри;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Темный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Натуральный;;Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Серый;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Pergo;Glomma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Коричневый;;Монсоро
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Английская
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Натур;;Двухслойная (дуб+фанера);
Alpine Floor;Stone Mineral Core;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Французская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);
Pergo;Ebeltoft 12 pro;Ламинат;270;замковое соединение;четырехсторонняя;Плитка;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Кантри;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Светлый;Трехслойная (дуб+дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Серый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Pergo;Glomma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Белый;;Монсоро
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Рустик;;Двухслойная (дуб+фанера);
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Alpine Floor;Stone Mineral Core;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Ensten;Valland Parquet;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;Английская
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;;Селект;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Pergo;Ebeltoft 12 pro;Ламинат;270;замковое соединение;четырехсторонняя;Плитка;;Темный;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Серый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Glomma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Серый;;Монсоро
Coswick;Дизайнерские решения;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Alpine Floor;Stone Mineral Core;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Ensten;Valland Parquet;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;Английская
Coswick;Дизайнерские решения;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Коричневый;Двухслойная (дуб+фанера);Французская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
